|k=25|k=50|k=100|k=200|k=500
stST|58|75|121|198|414
cfST|0|0|3|1|37
cfST_w|0|0|3|1|37
CF|0|0|0|0|0
|k=25|k=50|k=100|k=200|k=500
stST|1.65|2.14|3.45|5.65|11.81
cfST|0.0|0.0|0.09|0.03|1.06
cfST_w|0.0|0.0|0.09|0.03|1.06
CF|0.0|0.0|0.0|0.0|0.0
