|k=25|k=50|k=100|k=200|k=500
stST|40|61|64|75|108
cfST|296|337|400|476|605
cfST_w|303|337|400|476|605
CF|231|231|231|231|231
|k=25|k=50|k=100|k=200|k=500
stST|1.14|1.74|1.83|2.14|3.08
cfST|8.44|9.61|11.41|13.58|17.26
cfST_w|8.64|9.61|11.41|13.58|17.26
CF|6.59|6.59|6.59|6.59|6.59
