|k=25|k=50|k=100|k=200|k=500
stST|136|108|159|209|366
cfST|147|73|104|112|252
cfST_w|147|73|93|112|252
CF|1|1|1|1|1
|k=25|k=50|k=100|k=200|k=500
stST|1.43|1.13|1.67|2.19|3.84
cfST|1.54|0.77|1.09|1.17|2.64
cfST_w|1.54|0.77|0.98|1.17|2.64
CF|0.01|0.01|0.01|0.01|0.01
